Temperature_K,SOC,Frequency_Hz,Re_Z,Im_Z,,
263.15,0.30000000000000004,0.004701851,0.014859492452912798,-0.000752252,,
263.15,0.30000000000000004,0.005489032,0.014804445715095742,-0.000671812,,
263.15,0.30000000000000004,0.006408003,0.014759464873582089,-0.000598277,,
263.15,0.30000000000000004,0.007480826,0.014722576324294957,-0.000531996,,
263.15,0.30000000000000004,0.008733262,0.014692063478959393,-0.000472835,,
263.15,0.30000000000000004,0.010195378685327302,0.014666527523142207,-0.00042035,,
263.15,0.30000000000000004,0.011902282,0.014644886129863324,-0.000373946,,
263.15,0.30000000000000004,0.013894954943731374,0.014626334185815743,-0.000332978,,
263.15,0.30000000000000004,0.016221239,0.014610285971931094,-0.000296834,,
263.15,0.30000000000000004,0.018936989,0.014596314,-0.000264965,,
263.15,0.30000000000000004,0.022107407427431246,0.014584095,-0.0002369,,
263.15,0.30000000000000004,0.025808615,0.014573371483759874,-0.00021224,,
263.15,0.30000000000000004,0.030129477247269904,0.014563927163784815,-0.000190643,,
263.15,0.30000000000000004,0.035173735,0.014555575439412206,-0.000171813,,
263.15,0.30000000000000004,0.041062499,0.014548154239717517,-0.000155491,,
263.15,0.30000000000000004,0.047937156455582164,0.014541523,-0.000141452,,
263.15,0.30000000000000004,0.055962764,0.014535560441698639,-0.0001295,,
263.15,0.30000000000000004,0.065332015,0.014530160590702768,-0.000119468,,
263.15,0.30000000000000004,0.076269859,0.014525231064865286,-0.000111218,,
263.15,0.30000000000000004,0.089038909,0.014520690152554078,-0.000104636,,
263.15,0.30000000000000004,0.10394574653722626,0.014516464884478683,-9.96E-05,,
263.15,0.30000000000000004,0.12134827677491432,0.014512489217363771,-9.62E-05,,
263.15,0.30000000000000004,0.14166432746690208,0.014508702,-9.42E-05,,
263.15,0.30000000000000004,0.1653816783395673,0.014505047,-9.36E-05,,
263.15,0.30000000000000004,0.19306977288832497,0.014501466516167072,-9.46E-05,,
263.15,0.30000000000000004,0.22539339047347912,0.014497905446442376,-9.70E-05,,
263.15,0.30000000000000004,0.2631286073895942,0.014494304,-0.000101068,,
263.15,0.30000000000000004,0.30718143012686966,0.014490599301487035,-0.00010679,,
263.15,0.30000000000000004,0.3586095482011829,0.014486717749358845,-0.000114313,,
263.15,0.30000000000000004,0.41864772882899515,0.014482576159375515,-0.000123792,,
263.15,0.30000000000000004,0.4887374631624422,0.014478075539804531,-0.000135417,,
263.15,0.30000000000000004,0.5705615758781021,0.014473096676735749,-0.000149412,,
263.15,0.30000000000000004,0.6660846290809154,0.014467494,-0.000166042,,
263.15,0.30000000000000004,0.7776000906038036,0.014461089,-0.000185608,,
263.15,0.30000000000000004,0.9077853991937549,0.014453658089129608,-0.000208455,,
263.15,0.30000000000000004,1.0597662486760708,0.014444925260474334,-0.000234969,,
263.15,0.30000000000000004,1.2371916345321594,0.014434543902763216,-0.000265578,,
263.15,0.30000000000000004,1.4443214647272804,0.014422080838884651,-0.000300742,,
263.15,0.30000000000000004,1.6861288382868804,0.014406994867846076,-0.000340951,,
263.15,0.30000000000000004,1.9684194472866112,0.014388612149874795,-0.000386704,,
263.15,0.30000000000000004,2.2979709690469625,0.014366098763651958,-0.000438488,,
263.15,0.30000000000000004,2.6826957952797246,0.014338432155428288,-0.000496738,,
263.15,0.30000000000000004,3.1318310052438445,0.014304374930703603,-0.000561781,,
263.15,0.30000000000000004,3.6561601440851934,0.014262457004139733,-0.000633765,,
263.15,0.30000000000000004,4.268272131163821,0.014210975567817682,-0.000712554,,
263.15,0.30000000000000004,4.982863514647301,0.014148026338380693,-0.000797616,,
263.15,0.30000000000000004,5.817091329374358,0.014071583047395057,-0.000887876,,
263.15,0.30000000000000004,6.790985029955707,0.013979642969397684,-0.00098159,,
263.15,0.30000000000000004,7.9279273894505975,0.013870451,-0.001076243,,
263.15,0.30000000000000004,9.255215909791344,0.013742799971390534,-0.001168527,,
263.15,0.30000000000000004,10.804718223181286,0.013596377100723315,-0.00125445,,
263.15,0.30000000000000004,12.613637220374423,0.013432094,-0.001329615,,
263.15,0.30000000000000004,14.725404276241209,0.013252308,-0.001389668,,
263.15,0.30000000000000004,17.190722018585745,0.013060836168760272,-0.001430867,,
263.15,0.30000000000000004,20.068781676649664,0.012862701471598032,-0.001450654,,
263.15,0.30000000000000004,23.428684237322305,0.012663627352686304,-0.001448084,,
263.15,0.30000000000000004,27.351099530412107,0.012469365999997432,-0.001424006,,
263.15,0.30000000000000004,31.93020307691027,0.012285017481634925,-0.001380921,,
263.15,0.30000000000000004,37.27593720314938,0.012114490424600837,-0.001322573,,
263.15,0.30000000000000004,43.51665070924412,0.011960207313689162,-0.001253387,,
263.15,0.30000000000000004,50.80218046913023,0.011823078,-0.001177876,,
263.15,0.30000000000000004,59.30744895010559,0.011702692,-0.001100155,,
263.15,0.30000000000000004,69.23666403,0.011597643756419595,-0.001023611,,
263.15,0.30000000000000004,80.82822192522706,0.011505893713848218,-0.00095074,,
263.15,0.30000000000000004,94.36043101,0.011425110813105476,-0.000883129,,
263.15,0.30000000000000004,110.15819387358995,0.011352952575229423,-0.000821522,,
263.15,0.30000000000000004,128.6008080610565,0.011287280151385434,-0.000765957,,
263.15,0.30000000000000004,150.1310728908171,0.011226309602589362,-0.000715928,,
263.15,0.30000000000000004,175.26592085367585,0.011168703704800071,-0.000670564,,
263.15,0.30000000000000004,204.6088289466011,0.011113604,-0.000628815,,
263.15,0.30000000000000004,238.86430789845957,0.011060604269790079,-0.000589632,,
263.15,0.30000000000000004,278.85481717262917,0.011009661625314686,-0.000552109,,
263.15,0.30000000000000004,325.5405118685032,0.010960973575370429,-0.000515575,,
263.15,0.30000000000000004,380.04229563658816,0.010914835105980169,-0.000479628,,
263.15,0.30000000000000004,443.66873309786064,0.010871515049431391,-0.000444091,,
263.15,0.30000000000000004,517.9474679231213,0.010831174357225573,-0.000408941,,
263.15,0.30000000000000004,604.6619009070436,0.010793836890334788,-0.000374212,,
263.15,0.30000000000000004,705.8940086618738,0.010759405865099613,-0.000339919,,
263.15,0.30000000000000004,824.0743309893649,0.010727706925985727,-0.000306006,,
263.15,0.30000000000000004,962.0403271064761,0.010698535693886266,-0.000272333,,
263.15,0.30000000000000004,1123.1045018329517,0.010671693201389616,-0.000238681,,
263.15,0.30000000000000004,1311.133937421563,0.010647003,-0.000204767,,
263.15,0.30000000000000004,1530.6431405563565,0.010624311611125462,-0.00017026,,
263.15,0.30000000000000004,1786.9024337358285,0.010603483828138985,-0.000134785,,
263.15,0.30000000000000004,2086.0644934719567,0.010584393216547519,-9.79E-05,,
263.15,0.30000000000000004,2435.3120734334125,0.010566917657630494,-5.92E-05,,
263.15,0.30000000000000004,2843.030459302665,0.010550936126239674,-1.80E-05,,
263.15,0.30000000000000004,3319.008795914677,0.010536326846601598,2.622184510525343e-05,,
263.15,0.30000000000000004,3874.6751204561283,0.010522965755700584,7.425937701302114e-05,,
263.15,0.30000000000000004,4523.370744772096,0.010510725077022689,0.000126961,,
263.15,0.30000000000000004,5280.670574582637,0.010499472230192203,0.00018533,,
263.15,0.30000000000000004,6164.757056337161,0.010489069431741667,0.00025054,,
263.15,0.30000000000000004,7196.856730011514,0.010479374362650147,0.000323963,,
263.15,0.30000000000000004,8401.749869294326,0.010470242295467107,0.000407214,,
263.15,0.30000000000000004,9808.365445406671,0.010461530097135886,0.000502184,,
263.15,0.30000000000000004,11450.475699382812,0.010453102475638864,0.000611091,,
263.15,0.30000000000000004,13367.506999197063,0.010444840535207703,0.000736533,,
263.15,0.30000000000000004,15605.486450070717,0.010436651941991264,0.000881541,,
263.15,0.30000000000000004,18218.146985669748,0.010428480801238493,0.001049648,,
263.15,0.30000000000000004,21268.217472962082,0.010420314214679946,0.001244948,,
263.15,0.30000000000000004,24828.92880560325,0.010412182,0.001472183,,
263.15,0.30000000000000004,28985.772146510622,0.010404150428510358,0.001736833,,
263.15,0.30000000000000004,33838.551534282335,0.010396303927955793,0.002045236,,
263.15,0.30000000000000004,39503.780135666406,0.010388730981644318,0.002404737,,
263.15,0.30000000000000004,46117.47767708251,0.010381506711234867,0.00282387,,
263.15,0.30000000000000004,53838.436220334894,0.010374682864727642,0.003312573,,
263.15,0.30000000000000004,62852.03269240097,0.010368283706928424,0.003882442,,
263.15,0.30000000000000004,73374.67970651374,0.010362307139838559,0.00454702,,
263.15,0.30000000000000004,85659.02153685482,0.010356729197356526,0.005322136,,
263.15,0.30000000000000004,100000,0.010351510200386143,0.006226286,,
263.15,0.5,0.001,0.015567765392674265,-0.001485591,,
263.15,0.5,0.001167419,0.015440838017421387,-0.001443566,,
263.15,0.5,0.001362868,0.015303704655069162,-0.001397874,,
263.15,0.5,0.001591038,0.015161226125021087,-0.001343841,,
263.15,0.5,0.001857409,0.015019197118124298,-0.001279001,,
263.15,0.5,0.002168375,0.01488334,-0.001203293,,
263.15,0.5,0.002531403,0.014758345511323486,-0.001118696,,
263.15,0.5,0.002955209,0.014647267410550417,-0.001028463,,
263.15,0.5,0.003449968,0.014551405054834193,-0.000936254,,
263.15,0.5,0.00402756,0.014470562020717918,-0.000845447,,
263.15,0.5,0.004701851,0.014403496347932998,-0.000758716,,
263.15,0.5,0.005489032,0.014348388,-0.000677887,,
263.15,0.5,0.006408003,0.014303224646799468,-0.000603976,,
263.15,0.5,0.007480826,0.014266074634359974,-0.000537332,,
263.15,0.5,0.008733262,0.014235245731590069,-0.000477815,,
263.15,0.5,0.010195378685327302,0.014209355082739709,-0.000424976,,
263.15,0.5,0.011902282,0.014187332914986847,-0.000378209,,
263.15,0.5,0.013894954943731374,0.014168386,-0.000336863,,
263.15,0.5,0.016221239,0.014151938398235045,-0.000300314,,
263.15,0.5,0.018936989,0.014137574353456308,-0.000268009,,
263.15,0.5,0.022107407427431246,0.014124979953306421,-0.000239471,,
263.15,0.5,0.025808615,0.014113905329499996,-0.000214299,,
263.15,0.5,0.030129477247269904,0.014104140019492263,-0.000192147,,
263.15,0.5,0.035173735,0.014095501222335003,-0.000172718,,
263.15,0.5,0.041062499,0.014087829056505819,-0.000155749,,
263.15,0.5,0.047937156455582164,0.014080984199237376,-0.000141008,,
263.15,0.5,0.055962764,0.014074845624451847,-0.000128295,,
263.15,0.5,0.065332015,0.014069308061743384,-0.000117433,,
263.15,0.5,0.076269859,0.014064279523653987,-0.000108271,,
263.15,0.5,0.089038909,0.014059679167057325,-0.000100685,,
263.15,0.5,0.10394574653722626,0.014055435493388604,-9.46E-05,,
263.15,0.5,0.12134827677491432,0.014051484762120852,-8.98E-05,,
263.15,0.5,0.14166432746690208,0.014047769489559079,-8.65E-05,,
263.15,0.5,0.1653816783395673,0.014044236942994035,-8.44E-05,,
263.15,0.5,0.19306977288832497,0.014040837573938487,-8.35E-05,,
263.15,0.5,0.22539339047347912,0.014037523357147145,-8.40E-05,,
263.15,0.5,0.2631286073895942,0.014034246013200833,-8.58E-05,,
263.15,0.5,0.30718143012686966,0.014030955088170226,-8.89E-05,,
263.15,0.5,0.3586095482011829,0.014027596,-9.35E-05,,
263.15,0.5,0.41864772882899515,0.014024106884720966,-9.97E-05,,
263.15,0.5,0.4887374631624422,0.014020417,-0.000107485,,
263.15,0.5,0.5705615758781021,0.014016444,-0.00011714,,
263.15,0.5,0.6660846290809154,0.014012086144775676,-0.000128822,,
263.15,0.5,0.7776000906038036,0.014007222312079137,-0.000142754,,
